#FB samp H_DM H_W H_SNR DM W SNR SNR_0 F1 F2 F3 index utc MEANf1 MEANf2 MEANf3 MEANr STDf1 STDf2 STDf3 STDr SN_zap n_zap Mod_ind Mod_indT
8 69884 104.927 3.0 9.78365 103.50325 14 9.92227751014 8.05238320751 13.3850470185 4.10958901048 73.4279572964 9468.39211543 2016-08-16-21:23:51 129.717 127.619 133.423 127.392 22.2653 22.266 26.499 21.2669 2.51265420463 7 2.5105 1.94984
9 69890 144.288 4.0 9.8128 141.55275 32 9.48404569582 7.87058611027 9.97741743922 -2.57647298276 67.6965713501 9468.3921181 2016-08-16-21:23:51 128.656 126.577 132.81 128.27 21.885 22.1028 24.8757 21.4814 6.78297420898 2 2.98234 1.92031
9 69503 231.058 4.0 9.30617 235.308125 16 10.3352737427 4.59821081161 6.11499361694 -2.20775101334 61.2770020962 9468.39194573 2016-08-16-21:23:51 127.628 127.922 130.224 128.552 21.6321 21.6195 25.3481 21.1453 3.34348773956 6 2.85887 1.78545
12 69822 279.963 4.0 9.98336 278.36825 24 9.98371892019 3.75112650959 4.87916618586 1.24842515215 70.4043090343 9468.39208781 2016-08-16-21:23:51 128.713 128.066 132.756 128.313 21.4105 22.2548 24.8865 21.3786 8.5587837536 1 2.758 1.78198
27 69864 254.416 4.0 9.0731 257.5365 24 9.92125075221 4.5161528833 8.36408361793 7.3431737721 68.8683867455 9468.39210651 2016-08-16-21:23:51 126.439 129.093 133.401 128.101 21.4426 21.2002 26.2274 21.6086 4.03699912637 5 2.76138 1.74848
91 69898 176.53 5.0 9.14773 176.5775 48 11.107113434 9.34513178627 0.602712202817 9.72710549831 63.6196196079 9468.39212166 2016-08-16-21:23:51 127.003 129.117 127.453 127.77 20.7995 22.1919 22.9393 21.0125 5.18484852006 8 3.65164 1.95359
88 69794 307.92 5.0 9.29556 309.830125 64 13.1848201752 2.75737380981 6.3882060349 3.03966309875 69.4278717041 9468.39207533 2016-08-16-21:23:51 128.169 128.535 124.947 128.015 21.8412 22.17 22.3408 21.1664 7.56585979462 5 3.73249 1.99437
191 69847 204.635 5.0 10.2012 199.691 48 11.6732512008 8.76083509546 16.3055345416 6.65627419949 58.4099769592 9468.39209894 2016-08-16-21:23:51 129.059 127.122 126.438 127.982 21.4096 21.7696 22.6183 21.3937 8.76090887642 2 3.43237 1.5993
192 69864 199.691 5.0 10.1165 198.5225 32 13.1750401069 6.23913892413 11.8699349463 4.68472018838 66.9796407223 9468.39210651 2016-08-16-21:23:51 128.686 127.277 127.572 129.671 22.6133 21.5704 22.6378 21.3218 10.5006067771 1 3.41166 1.85036
285 68924 102.051 4.0 9.27181 104.214625 20 12.3532690448 7.10672830445 8.65259319544 1.0685431771 61.7930650711 9468.39168783 2016-08-16-21:23:51 128.021 125.955 128.885 125.894 21.389 21.9012 25.7574 21.1934 4.81154924421 7 2.98346 1.78699
78 77294 315.313 4.0 9.81761 319.137 32 12.7073044974 9.52750280556 75.6655395031 5.40869906545 1.60292461514 9468.39541587 2016-08-16-21:23:51 127.387 127.142 127.681 128.141 23.1731 22.2161 21.01 21.4706 11.9258709059 1 2.43641 1.70399
98 75447 307.92 4.0 9.23737 306.174875 24 11.9529176558 1.382475847 2.6015304029 2.6603884995 67.0629799366 9468.39459321 2016-08-16-21:23:51 128.83 127.823 127.029 128.629 21.3171 22.1459 23.2168 21.2736 9.51383174724 3 2.73001 1.79835
23 78520 668.015 5.0 9.22448 672.0875 32 11.6475493028 0.304578626183 69.113779068 9.04994383454 3.99924889207 9468.39596193 2016-08-16-21:23:51 127.21 128.982 127.867 127.534 23.9627 22.7102 21.2459 21.1577 4.90972549531 5 3.28701 1.84468
89 78755 516.744 4.0 10.0468 522.9255 32 13.0934937101 4.20918080985 76.1234104633 4.81793768704 8.16269814968 9468.3960666 2016-08-16-21:23:51 127.39 125.926 127.53 128.013 22.6866 22.9576 21.0531 21.2993 7.97544612067 5 2.63694 1.86694
